timestamp,실제수요_MWh,Decision Tree_예측,Random Forest_예측,Gradient Boosting_예측,XGBoost_예측,LightGBM_예측
2024-08-01 00:00:00,2452,2450,2487,2468,2503,2500
2024-08-01 01:00:00,2197,2231,2182,2147,2161,2206
2024-08-01 02:00:00,2047,2011,2020,2008,2018,2024
2024-08-01 03:00:00,1955,1986,1960,1924,1934,1944
2024-08-01 04:00:00,1943,1986,1946,1931,1944,1944
2024-08-01 05:00:00,2048,2011,2025,2015,2062,2017
2024-08-01 06:00:00,2351,2450,2419,2363,2364,2382
2024-08-01 07:00:00,2776,2857,2849,2832,2851,2863
2024-08-01 08:00:00,3224,3620,3511,3430,3469,3498
2024-08-01 09:00:00,3591,3620,3685,3690,3706,3700
2024-08-01 10:00:00,3797,3892,3834,3817,3839,3840
2024-08-01 11:00:00,3894,3926,3940,3971,3988,3997
2024-08-01 12:00:00,3941,3928,3984,3992,3995,3996
2024-08-01 13:00:00,3996,3928,3970,4003,3987,4004
2024-08-01 14:00:00,4036,3928,3987,3958,4013,4012
2024-08-01 15:00:00,4032,4061,4007,3956,4005,4013
2024-08-01 16:00:00,4057,4072,3994,3955,4005,4003
2024-08-01 17:00:00,4050,4061,3978,3994,3987,3987
2024-08-01 18:00:00,3927,4061,3944,3949,3931,3964
2024-08-01 19:00:00,3839,3892,3870,3882,3908,3898
2024-08-01 20:00:00,3669,3692,3817,3798,3764,3831
2024-08-01 21:00:00,3402,3194,3439,3363,3389,3417
2024-08-01 22:00:00,3095,3046,3156,3171,3128,3171
2024-08-01 23:00:00,2802,2988,2885,2853,2859,2909
2024-08-02 00:00:00,2501,2676,2556,2526,2596,2567
2024-08-02 01:00:00,2241,2308,2272,2274,2277,2306
2024-08-02 02:00:00,2084,1691,2042,2060,2068,2083
2024-08-02 03:00:00,1991,1927,1982,1976,1984,1992
2024-08-02 04:00:00,1973,1986,1977,1961,1982,1982
2024-08-02 05:00:00,2090,1691,2041,2066,2060,2071
2024-08-02 06:00:00,2393,2450,2435,2408,2377,2350
2024-08-02 07:00:00,2825,2857,2889,2901,2909,2935
2024-08-02 08:00:00,3272,3620,3520,3462,3492,3502
2024-08-02 09:00:00,3617,3620,3684,3699,3705,3706
2024-08-02 10:00:00,3790,3641,3757,3772,3798,3819
2024-08-02 11:00:00,3883,3843,3885,3885,3866,3941
2024-08-02 12:00:00,3936,3843,3910,3891,3864,3958
2024-08-02 13:00:00,4014,3928,3964,3964,3989,3999
2024-08-02 14:00:00,4000,3928,3949,3961,3998,4007
2024-08-02 15:00:00,3999,4072,3977,3970,4004,4024
2024-08-02 16:00:00,4031,4072,3991,3965,4018,4009
2024-08-02 17:00:00,4011,4072,3986,3965,4016,4005
2024-08-02 18:00:00,3860,4072,3963,3964,3926,3960
2024-08-02 19:00:00,3770,3692,3886,3894,3898,3933
2024-08-02 20:00:00,3609,3692,3827,3750,3739,3770
2024-08-02 21:00:00,3351,3595,3522,3545,3395,3460
2024-08-02 22:00:00,3067,3194,3209,3230,3177,3210
2024-08-02 23:00:00,2815,2988,2942,2945,2945,2996
2024-08-03 00:00:00,2528,2676,2552,2556,2590,2571
2024-08-03 01:00:00,2256,2232,2287,2250,2252,2290
2024-08-03 02:00:00,2086,2099,2114,2087,2110,2132
2024-08-03 03:00:00,1980,2011,2012,2019,2003,2010
2024-08-03 04:00:00,1940,1927,1960,1944,1967,1956
2024-08-03 05:00:00,1978,2099,2056,1998,2015,2035
2024-08-03 06:00:00,2114,2069,2114,2125,2173,2166
2024-08-03 07:00:00,2348,2628,2523,2565,2546,2517
2024-08-03 08:00:00,2654,2900,2838,2810,2846,2840
2024-08-03 09:00:00,3023,3266,3317,3229,3229,3209
2024-08-03 10:00:00,3324,3892,3833,3668,3564,3741
2024-08-03 11:00:00,3478,4009,3930,3803,3675,3821
2024-08-03 12:00:00,3564,4072,3965,3783,3722,3855
2024-08-03 13:00:00,3603,4061,3958,3795,3726,3879
2024-08-03 14:00:00,3600,4061,3955,3779,3685,3840
2024-08-03 15:00:00,3588,4061,3950,3763,3681,3843
2024-08-03 16:00:00,3597,4061,3920,3749,3673,3847
2024-08-03 17:00:00,3610,4061,3896,3763,3667,3855
2024-08-03 18:00:00,3583,4061,3852,3804,3659,3859
2024-08-03 19:00:00,3544,3864,3811,3758,3642,3822
2024-08-03 20:00:00,3437,3767,3566,3532,3360,3590
2024-08-03 21:00:00,3225,3194,3204,3179,3169,3132
2024-08-03 22:00:00,2974,3345,3080,3074,3050,3010
2024-08-03 23:00:00,2735,2988,2882,2835,2816,2817
2024-08-04 00:00:00,2450,2628,2586,2581,2648,2526
2024-08-04 01:00:00,2220,2232,2257,2226,2219,2220
2024-08-04 02:00:00,2061,2099,2114,2066,2066,2041
2024-08-04 03:00:00,1955,1927,1970,1970,1959,1950
2024-08-04 04:00:00,1912,1868,1930,1922,1953,1913
2024-08-04 05:00:00,1936,1927,1960,1972,1961,1964
2024-08-04 06:00:00,2063,2099,2081,2051,2075,2054
2024-08-04 07:00:00,2296,2382,2319,2286,2288,2272
2024-08-04 08:00:00,2613,2988,2808,2824,2800,2813
2024-08-04 09:00:00,2970,3094,3099,3033,3122,3133
2024-08-04 10:00:00,3261,3052,3296,3309,3332,3332
2024-08-04 11:00:00,3405,3052,3395,3415,3311,3451
2024-08-04 12:00:00,3511,3181,3472,3523,3377,3552
2024-08-04 13:00:00,3574,3864,3755,3610,3497,3697
2024-08-04 14:00:00,3579,3864,3762,3617,3492,3693
2024-08-04 15:00:00,3577,3864,3758,3615,3500,3677
2024-08-04 16:00:00,3606,3864,3714,3606,3465,3653
2024-08-04 17:00:00,3663,3864,3741,3633,3511,3702
2024-08-04 18:00:00,3682,3864,3717,3663,3506,3707
2024-08-04 19:00:00,3673,3767,3711,3648,3490,3696
2024-08-04 20:00:00,3585,3595,3621,3643,3395,3612
2024-08-04 21:00:00,3379,3194,3263,3338,3257,3246
2024-08-04 22:00:00,3106,3345,3122,3054,3075,3065
2024-08-04 23:00:00,2819,2988,2925,2832,2837,2812
2024-08-05 00:00:00,2491,2676,2707,2609,2668,2568
2024-08-05 01:00:00,2213,2292,2362,2437,2388,2493
2024-08-05 02:00:00,2067,2099,2088,2091,2071,2046
2024-08-05 03:00:00,1995,1927,1980,2001,1999,1972
2024-08-05 04:00:00,1993,1937,1953,1969,1976,1966
2024-08-05 05:00:00,2123,1937,2014,2093,2098,2069
2024-08-05 06:00:00,2441,2450,2443,2459,2497,2428
2024-08-05 07:00:00,2892,2711,2823,2887,2960,2941
2024-08-05 08:00:00,3396,3620,3546,3464,3513,3495
2024-08-05 09:00:00,3835,3595,3708,3727,3734,3760
2024-08-05 10:00:00,4096,3595,3852,3949,3963,3933
2024-08-05 11:00:00,4180,3595,3875,3973,3973,3958
2024-08-05 12:00:00,4213,3595,3890,3980,4009,3987
2024-08-05 13:00:00,4234,3933,3920,3967,3976,3972
2024-08-05 14:00:00,4188,3933,3921,3988,3960,3990
2024-08-05 15:00:00,4225,3827,3919,3967,3962,3987
2024-08-05 16:00:00,4176,3827,3912,3963,3957,3974
2024-08-05 17:00:00,4148,3827,3903,3950,3952,3953
2024-08-05 18:00:00,4041,3827,3877,3914,3924,3939
2024-08-05 19:00:00,3919,3827,3841,3874,3876,3890
2024-08-05 20:00:00,3719,3692,3744,3734,3692,3796
2024-08-05 21:00:00,3437,3334,3388,3372,3399,3433
2024-08-05 22:00:00,3089,3345,3206,3193,3163,3210
2024-08-05 23:00:00,2732,2988,2883,2835,2879,2838
2024-08-06 00:00:00,2421,2513,2529,2466,2496,2546
2024-08-06 01:00:00,2185,2308,2255,2241,2215,2254
2024-08-06 02:00:00,2043,2099,2089,2043,2063,2109
2024-08-06 03:00:00,1952,1927,1982,1958,1951,1960
2024-08-06 04:00:00,1931,1927,1980,1958,1959,1965
2024-08-06 05:00:00,2055,2099,2114,2043,2056,2063
2024-08-06 06:00:00,2371,2466,2420,2384,2400,2420
2024-08-06 07:00:00,2810,3053,2872,2792,2799,2798
2024-08-06 08:00:00,3257,3216,3289,3259,3269,3213
2024-08-06 09:00:00,3561,3620,3594,3539,3597,3550
2024-08-06 10:00:00,3739,3738,3724,3700,3733,3731
2024-08-06 11:00:00,3853,3738,3767,3787,3810,3821
2024-08-06 12:00:00,3940,3926,3929,3906,3891,3976
2024-08-06 13:00:00,4024,3928,3979,3971,3957,3997
2024-08-06 14:00:00,4042,3926,3930,3915,3890,3976
2024-08-06 15:00:00,4090,4061,4000,3980,3972,4005
2024-08-06 16:00:00,4105,4061,4003,3986,3987,3999
2024-08-06 17:00:00,4109,3928,3960,3989,3968,3994
2024-08-06 18:00:00,3981,4061,3954,3959,3919,3958
